[2022-01-28 10:19:16] arc_res50_adam_0.05_step_do_started.
[2022-01-28 10:20:04] Epoch#1_Iter#12800_loss: 43.577
[2022-01-28 10:20:52] Epoch#1_Iter#25600_loss: 43.254
[2022-01-28 10:21:40] Epoch#1_Iter#38400_loss: 43.280
[2022-01-28 10:22:27] Epoch#1_Iter#51200_loss: 43.450
[2022-01-28 10:23:15] Epoch#1_Iter#64000_loss: 43.007
[2022-01-28 10:24:03] Epoch#1_Iter#76800_loss: 42.454
[2022-01-28 10:24:51] Epoch#1_Iter#89600_loss: 43.290
[2022-01-28 10:25:38] Epoch#1_Iter#102400_loss: 42.996
[2022-01-28 10:26:26] Epoch#1_Iter#115200_loss: 42.483
[2022-01-28 10:27:14] Epoch#1_Iter#128000_loss: 42.509
[2022-01-28 10:28:02] Epoch#1_Iter#140800_loss: 42.276
[2022-01-28 10:28:49] Epoch#1_Iter#153600_loss: 42.213
[2022-01-28 10:29:37] Epoch#1_Iter#166400_loss: 42.548
[2022-01-28 10:30:25] Epoch#1_Iter#179200_loss: 41.940
[2022-01-28 10:31:13] Epoch#1_Iter#192000_loss: 41.847
[2022-01-28 10:32:00] Epoch#1_Iter#204800_loss: 42.216
[2022-01-28 10:32:48] Epoch#1_Iter#217600_loss: 42.079
[2022-01-28 10:33:36] Epoch#1_Iter#230400_loss: 41.621
[2022-01-28 10:34:23] Epoch#1_Iter#243200_loss: 40.981
[2022-01-28 10:35:11] Epoch#1_Iter#256000_loss: 41.670
[2022-01-28 10:35:59] Epoch#1_Iter#268800_loss: 41.807
[2022-01-28 10:36:47] Epoch#1_Iter#281600_loss: 42.710
[2022-01-28 10:37:34] Epoch#1_Iter#294400_loss: 40.986
[2022-01-28 10:38:22] Epoch#1_Iter#307200_loss: 41.831
[2022-01-28 10:39:10] Epoch#1_Iter#320000_loss: 40.485
[2022-01-28 10:39:58] Epoch#1_Iter#332800_loss: 40.444
[2022-01-28 10:40:45] Epoch#1_Iter#345600_loss: 40.792
[2022-01-28 10:41:33] Epoch#1_Iter#358400_loss: 41.024
