[2022-01-24 21:51:46] arc_res50_adam_0.05_exp_started.
[2022-01-24 21:52:34] Epoch#1_Iter#12800_loss: 48.334
[2022-01-24 21:53:22] Epoch#1_Iter#25600_loss: 46.937
[2022-01-24 21:54:10] Epoch#1_Iter#38400_loss: 45.830
[2022-01-24 21:54:57] Epoch#1_Iter#51200_loss: 45.871
[2022-01-24 21:55:45] Epoch#1_Iter#64000_loss: 44.038
[2022-01-24 21:56:33] Epoch#1_Iter#76800_loss: 43.463
[2022-01-24 21:57:20] Epoch#1_Iter#89600_loss: 44.351
[2022-01-24 21:58:08] Epoch#1_Iter#102400_loss: 43.257
[2022-01-24 21:58:56] Epoch#1_Iter#115200_loss: 42.991
[2022-01-24 21:59:43] Epoch#1_Iter#128000_loss: 44.408
[2022-01-24 22:00:31] Epoch#1_Iter#140800_loss: 44.357
[2022-01-24 22:01:19] Epoch#1_Iter#153600_loss: 43.745
[2022-01-24 22:02:06] Epoch#1_Iter#166400_loss: 43.868
[2022-01-24 22:02:54] Epoch#1_Iter#179200_loss: 43.883
[2022-01-24 22:03:42] Epoch#1_Iter#192000_loss: 42.936
[2022-01-24 22:04:29] Epoch#1_Iter#204800_loss: 42.963
[2022-01-24 22:05:17] Epoch#1_Iter#217600_loss: 42.985
[2022-01-24 22:06:05] Epoch#1_Iter#230400_loss: 42.211
[2022-01-24 22:06:52] Epoch#1_Iter#243200_loss: 43.557
[2022-01-24 22:07:40] Epoch#1_Iter#256000_loss: 43.594
[2022-01-24 22:08:28] Epoch#1_Iter#268800_loss: 43.025
[2022-01-24 22:09:15] Epoch#1_Iter#281600_loss: 42.411
[2022-01-24 22:10:03] Epoch#1_Iter#294400_loss: 42.602
[2022-01-24 22:10:51] Epoch#1_Iter#307200_loss: 41.370
[2022-01-24 22:11:38] Epoch#1_Iter#320000_loss: 42.085
[2022-01-24 22:12:26] Epoch#1_Iter#332800_loss: 43.056
[2022-01-24 22:13:14] Epoch#1_Iter#345600_loss: 42.474
[2022-01-24 22:14:02] Epoch#1_Iter#358400_loss: 41.972
[2022-01-24 22:14:49] Epoch#1_Iter#371200_loss: 42.097
[2022-01-24 22:15:37] Epoch#1_Iter#384000_loss: 41.133
[2022-01-24 22:16:25] Epoch#1_Iter#396800_loss: 41.182
[2022-01-24 22:17:12] Epoch#1_Iter#409600_loss: 39.905
[2022-01-24 22:18:00] Epoch#1_Iter#422400_loss: 40.293
[2022-01-24 22:18:48] Epoch#1_Iter#435200_loss: 41.310
