[2022-01-20 14:46:03] cos_res50_sgd_0.005_exp_started.
[2022-01-20 14:46:50] Epoch#1_Iter#12800_loss: 32.032
[2022-01-20 14:47:38] Epoch#1_Iter#25600_loss: 32.098
[2022-01-20 14:48:26] Epoch#1_Iter#38400_loss: 31.864
[2022-01-20 14:49:13] Epoch#1_Iter#51200_loss: 31.722
[2022-01-20 14:50:01] Epoch#1_Iter#64000_loss: 31.713
[2022-01-20 14:50:48] Epoch#1_Iter#76800_loss: 31.755
[2022-01-20 14:51:36] Epoch#1_Iter#89600_loss: 31.762
[2022-01-20 14:52:23] Epoch#1_Iter#102400_loss: 32.074
[2022-01-20 14:53:11] Epoch#1_Iter#115200_loss: 31.578
[2022-01-20 14:53:58] Epoch#1_Iter#128000_loss: 31.350
[2022-01-20 14:54:46] Epoch#1_Iter#140800_loss: 31.713
[2022-01-20 14:55:33] Epoch#1_Iter#153600_loss: 31.945
[2022-01-20 14:56:21] Epoch#1_Iter#166400_loss: 31.612
[2022-01-20 14:57:08] Epoch#1_Iter#179200_loss: 31.488
[2022-01-20 14:57:56] Epoch#1_Iter#192000_loss: 31.289
[2022-01-20 14:58:43] Epoch#1_Iter#204800_loss: 31.380
[2022-01-20 14:59:31] Epoch#1_Iter#217600_loss: 31.440
[2022-01-20 15:00:18] Epoch#1_Iter#230400_loss: 31.504
[2022-01-20 15:01:06] Epoch#1_Iter#243200_loss: 31.799
[2022-01-20 15:01:53] Epoch#1_Iter#256000_loss: 31.591
[2022-01-20 15:02:41] Epoch#1_Iter#268800_loss: 31.431
[2022-01-20 15:03:28] Epoch#1_Iter#281600_loss: 31.806
[2022-01-20 15:04:16] Epoch#1_Iter#294400_loss: 30.822
[2022-01-20 15:05:03] Epoch#1_Iter#307200_loss: 31.255
[2022-01-20 15:05:51] Epoch#1_Iter#320000_loss: 31.175
[2022-01-20 15:06:38] Epoch#1_Iter#332800_loss: 31.276
[2022-01-20 15:07:26] Epoch#1_Iter#345600_loss: 31.005
[2022-01-20 15:08:13] Epoch#1_Iter#358400_loss: 31.102
[2022-01-20 15:09:01] Epoch#1_Iter#371200_loss: 30.994
[2022-01-20 15:09:48] Epoch#1_Iter#384000_loss: 31.650
[2022-01-20 15:10:36] Epoch#1_Iter#396800_loss: 30.433
[2022-01-20 15:11:23] Epoch#1_Iter#409600_loss: 31.052
